1,	63,	3,	2002,	0,	\N
2,	69,	3,	2002,	0,	\N
3,	74,	3,	2002,	0,	\N
4,	75,	3,	2002,	0,	\N
5,	76,	3,	2002,	0,	\N
6,	77,	3,	2002,	0,	\N
7,	1,	3,	2002,	0,	\N
8,	2,	3,	2002,	0,	\N
9,	3,	3,	2002,	0,	\N
10,	4,	3,	2002,	0,	\N
11,	5,	3,	2002,	0,	\N
12,	6,	3,	2002,	0,	\N
13,	7,	3,	2002,	0,	\N
14,	8,	3,	2002,	0,	\N
15,	9,	3,	2002,	0,	\N
16,	10,	3,	2002,	0,	\N
17,	11,	3,	2002,	0,	\N
18,	12,	3,	2002,	0,	\N
19,	14,	3,	2002,	0,	\N
20,	218,	3,	2002,	0,	\N
21,	29,	3,	2002,	0,	\N
22,	31,	3,	2002,	0,	\N
23,	35,	3,	2002,	0,	\N
24,	44,	3,	2002,	0,	\N
25,	46,	3,	2002,	0,	\N
26,	219,	3,	2002,	0,	\N
27,	220,	3,	2002,	0,	\N
28,	62,	3,	2002,	11,	\N
29,	62,	3,	2002,	12,	\N
30,	62,	3,	2002,	2,	\N
31,	62,	3,	2002,	3,	\N
32,	62,	3,	2002,	4,	\N
33,	62,	3,	2002,	5,	\N
34,	62,	3,	2002,	7,	\N
35,	221,	3,	2002,	0,	\N
36,	88,	3,	2002,	0,	\N
37,	130,	3,	2002,	0,	\N
38,	168,	3,	2002,	0,	\N
39,	210,	3,	2002,	0,	\N
40,	213,	3,	2002,	0,	\N
41,	89,	3,	2002,	0,	\N
42,	91,	3,	2002,	0,	\N
43,	222,	3,	2002,	0,	\N
44,	99,	3,	2002,	0,	\N
45,	101,	3,	2002,	0,	\N
46,	102,	3,	2002,	0,	\N
47,	104,	3,	2002,	0,	\N
48,	105,	3,	2002,	0,	\N
49,	106,	3,	2002,	0,	\N
50,	108,	3,	2002,	0,	\N
51,	114,	3,	2002,	0,	\N
52,	115,	3,	2002,	0,	\N
53,	116,	3,	2002,	0,	\N
54,	117,	3,	2002,	0,	\N
55,	120,	3,	2002,	0,	\N
56,	224,	3,	2002,	0,	\N
57,	225,	3,	2002,	0,	\N
58,	149,	3,	2002,	0,	\N
59,	154,	3,	2002,	0,	\N
60,	160,	3,	2002,	0,	\N
61,	162,	3,	2002,	0,	\N
62,	171,	3,	2002,	0,	\N
63,	173,	3,	2002,	0,	\N
64,	174,	3,	2002,	0,	\N
65,	226,	3,	2002,	0,	\N
66,	227,	3,	2002,	0,	\N
67,	196,	3,	2002,	0,	\N
68,	139,	3,	2002,	0,	\N
69,	63,	2,	2002,	0,	\N
70,	74,	2,	2002,	0,	\N
71,	75,	2,	2002,	0,	\N
72,	76,	2,	2002,	0,	\N
73,	32,	1,	2002,	0,	\N
74,	1,	1,	2002,	0,	\N
75,	2,	1,	2002,	0,	\N
76,	3,	1,	2002,	0,	\N
77,	4,	1,	2002,	0,	\N
78,	5,	1,	2002,	0,	\N
79,	6,	1,	2002,	0,	\N
80,	7,	1,	2002,	0,	\N
81,	8,	1,	2002,	0,	\N
82,	9,	1,	2002,	0,	\N
83,	228,	1,	2002,	0,	\N
84,	10,	1,	2002,	0,	\N
85,	11,	1,	2002,	0,	\N
86,	12,	1,	2002,	0,	\N
87,	21,	1,	2002,	0,	\N
88,	27,	1,	2002,	0,	\N
89,	30,	1,	2002,	0,	\N
90,	34,	1,	2002,	0,	\N
91,	36,	1,	2002,	0,	\N
92,	42,	1,	2002,	0,	\N
93,	46,	1,	2002,	0,	\N
94,	48,	1,	2002,	0,	\N
95,	51,	1,	2002,	0,	\N
96,	53,	1,	2002,	0,	\N
97,	54,	1,	2002,	0,	\N
98,	62,	1,	2002,	1,	\N
99,	62,	1,	2002,	2,	\N
100,	62,	1,	2002,	3,	\N
101,	62,	1,	2002,	4,	\N
102,	62,	1,	2002,	5,	\N
103,	62,	1,	2002,	6,	\N
104,	62,	1,	2002,	7,	\N
105,	221,	1,	2002,	0,	\N
106,	64,	1,	2002,	0,	\N
107,	69,	1,	2002,	0,	\N
108,	63,	1,	2002,	0,	\N
109,	74,	1,	2002,	0,	\N
