1,	414
1,	73
2,	170
2,	31
3,	190
4,	298
5,	190
6,	27
7,	197
7,	13
7,	163
8,	197
8,	163
8,	13
9,	197
9,	13
9,	163
10,	133
12,	125
12,	92
14,	56
18,	190
63,	201
65,	5
66,	55
67,	190
68,	82
70,	201
71,	201
72,	201
73,	201
74,	201
75,	201
76,	201
77,	2585
82,	201
83,	201
84,	201
85,	201
86,	201
87,	201
88,	361
89,	108
90,	81
90,	28
91,	62
92,	50
95,	178
96,	368
97,	368
98,	2592
99,	366
101,	169
103,	155
105,	169
106,	128
106,	122
107,	28
108,	186
109,	2592
110,	267
111,	96
112,	309
113,	368
114,	271
115,	117
117,	269
126,	50
130,	202
130,	162
168,	361
174,	268
210,	108
